country,gdp,agriculture,industry,manufacturing,services
Afghanistan,20.1,26.8,14,7.7,54.7
Albania,15.2,19.2,20.1,6.2,48.3
Algeria,145.7,13.8,32.5,18.7,49.5
Andorra,2.9,0.6,12.7,3.7,79.8
Angola,50.2,9.9,45.7,7.1,44.4
Antigua and Barbuda,1.4,2.1,20.4,2.1,66.4
Argentina,385.5,6.1,22.2,14.4,55.3
Armenia,12.6,11.3,26.8,12.3,53.2
Aruba,2.6,0,11.4,2.6,78.3
Australia,"1,326.90",2,25.4,5.6,66.3
Austria,435.2,1.1,25.8,16.4,62.9
Azerbaijan,42.7,6.7,42,6.1,42.4
Bahamas,9.8,0.8,12,1.4,80.4
Bahrain,34.6,0.3,39.9,18.3,56.9
Bangladesh,373.9,12,32.9,20.6,51.5
Barbados,4.7,1.5,12.8,4.9,73.4
Belarus,61.4,7.1,31.4,21.5,49
Belgium,525.2,0.8,19.5,12.3,69.5
Belize,2.1,8.4,16.5,7.3,61.3
Benin,15.7,27.1,16.3,9.7,47.9
Bermuda,6.9,0.3,5.6,0.3,90.3
Bhutan,2.3,19.2,34.7,5.9,43.5
Bolivia,36.6,14,23.5,11,52.8
Bosnia and Herzegovina,20.2,5.9,23.8,12.7,54.7
Botswana,15,2.2,26.7,5.7,65.9
Brazil,"1,476.10",5.7,19.5,10.7,61.4
Brunei Darussalam,12,1.2,59.1,15.8,41.5
Burkina Faso,17.9,18.4,32.6,9.3,40.8
Cabo Verde,1.9,4.7,16.7,4.8,54.8
Cambodia,25.9,22.7,34.6,16.2,36.6
Cameroon,40.8,17.5,23,13.2,51.8
Canada,"1,647.60",1.7,24.1,9.3,67.7
Cayman Islands,5.6,0.4,8.1,0.9,86.8
Central African Republic,2.3,29.5,20.4,17.7,39
Chad,10.7,27.1,35.7,3.2,43.6
Channel Islands,9.8,0.7,7.7,1.1,93
Chile,254.1,4,29.9,9,56.3
China,"14,687.70",7.7,37.8,26.3,54.5
Hong Kong,344.9,0.1,6.2,1,89.4
Colombia,270.2,7.5,23.7,10.8,59.9
Democratic Republic of Congo,48.7,20.9,41.2,19,35.7
Congo,10.5,11.2,22.1,8.1,59.9
Costa Rica,62.4,4.3,20.4,12.8,68.2
Cote d'Ivoire,63,19.1,21,12.2,52.7
Croatia,57.6,3.1,20.7,12.1,59.8
Cuba,107.4,2.8,23,11.2,73.5
Curacao,2.5,0.2,15,4.1,74.9
Cyprus,25,1.9,12.9,5.7,74.2
Czechia,246,2,30.7,21.4,58.4
Denmark,355.2,1.4,20,13.2,65.5
Djibouti,3.2,1.7,14.9,4.4,77.3
Dominica,0.5,15.2,12.2,2.9,57.9
Dominican Republic,78.8,6,30.3,14.4,57.2
Ecuador,99.3,9.8,30.7,16.5,53.3
Egypt,383.8,11.2,32.4,16.4,52
El Salvador,24.9,5.4,23.7,14.8,61.4
Equatorial Guinea,10.1,2.9,45.4,20.1,51.5
Estonia,31.4,2.1,22.8,12.8,63
Eswatini,4,8.1,31.4,26.5,53.8
Ethiopia,107.7,35.6,23.1,5.3,36.8
Faroe Islands,3.2,13.6,20.6,6.9,53.9
Fiji,4.5,14.5,16.9,10.9,53.4
Finland,271.9,2.5,24,14.3,60.1
France,"2,639.00",1.6,16.5,9.3,71.2
Gabon,15.3,6.6,41.6,18.4,44.9
Gambia,1.8,21.2,16.9,2.6,54
Georgia,15.8,7.3,21.2,9.3,59.1
Germany,"3,889.70",0.8,26.6,18.7,63.3
Ghana,70,18.9,29.9,11,45.2
Greece,188.9,4.2,15,8.7,68.5
Greenland,3.1,17.4,18.3,3.4,60.4
Grenada,1,4.9,13.1,3.1,66.8
Guatemala,77.7,9.9,22.3,14.1,62
Guinea,14.2,26.1,28.3,9.5,36.5
Guinea-Bissau,1.4,30.9,13.5,9.1,50.2
Guyana,5.5,16.9,38.8,4.2,38.9
Haiti,14.5,20.4,23.3,17.6,53.9
Honduras,23.8,12.1,26,16,58.3
Hungary,157.2,3.4,24.4,17.3,56.6
Iceland,21.6,4.6,20.1,8.8,65.2
India,"2,671.60",18.6,25,14.1,48.1
Indonesia,"1,059.10",13.7,38.2,19.9,44.4
Iran,239.7,12.2,36.1,21.1,49.2
Iraq,180.9,6.1,39.9,2.6,54.8
Ireland,425.9,0.9,37.5,34,56
Isle of Man,6.7,0.4,8.9,2.4,91.8
Israel,413.3,1.3,18.1,11.2,71.8
Italy,"1,897.20",2,21.6,14.6,66.9
Jamaica,13.8,8.7,20.4,8,59.7
Japan,"5,048.80",1,29,20,69.5
Jordan,43.6,4.6,23.6,17.2,62
Kazakhstan,171.1,5.4,33.1,13.1,56.1
Kenya,100.7,22.7,17.4,7.6,54
Kiribati,0.2,26.7,10,4.4,69.2
South Korea,"1,644.30",1.8,32.5,24.8,57
Kosovo,7.7,7.4,27.6,13.4,47.6
Kuwait,105.9,0.5,45.4,6.6,69.1
Kyrgyzstan,7.8,13.6,29.2,14.5,49.8
Laos,19,16.3,32.4,7.7,41
Latvia,34.6,4.3,19.5,11,63.4
Lebanon,31.7,3.1,6.6,2.9,87.4
Lesotho,2.1,5,31.1,15.9,52.5
Libya,46.8,3.6,10.4,2.9,93.6
Liechtenstein,6.4,0.2,40.3,34.3,56.1
Lithuania,56.9,3.5,24.8,15.6,61.3
Luxembourg,74,0.2,11.3,5,79.8
Madagascar,13.1,24.7,19.5,9.7,50.4
Malaysia,337.3,8.2,36,22.3,54.8
Maldives,3.7,8,11.9,2.5,70.7
Mali,17.5,36.2,21.2,6.8,34.4
Malta,15,0.8,13.3,7.5,76.7
Marshall Islands,0.2,20.3,13.4,3.3,68.5
Mauritania,8.4,19.6,32.4,6,40.7
Mauritius,11.4,3.1,16.7,10.8,68
Mexico,"1,090.50",3.8,29.8,17.4,60.1
"Micronesia, Fed. Sts.",0.4,22.1,4.9,0.5,67.1
Moldova,11.5,9.4,23.1,10.1,54.1
Mongolia,13.3,13,37,7.8,40.5
Montenegro,4.8,7.6,17.3,4.1,58
Morocco,121.3,10.7,26,15.2,53.2
Mozambique,14.2,26,21.4,7.8,41.5
Myanmar,78.9,20.9,38.6,24.8,40.5
Namibia,10.6,9.2,25.8,11,58.8
Nepal,33.4,22.2,12,4.5,53.9
Netherlands,909.8,1.6,17.9,10.8,69.6
New Zealand,212.6,5.7,19.7,9.5,66.7
Nicaragua,12.7,15.7,25.4,13.4,49.1
Niger,13.7,38.4,20.2,7.4,36.1
Nigeria,432.2,24.1,28.2,12.7,46.4
North Macedonia,12.4,8.6,22.7,12.9,56.6
Norway,367.6,1.8,26.9,6.6,59.6
Oman,75.9,2.5,47.1,8.4,55
Pakistan,300.4,21.9,18.6,11.4,53.7
Palau,0.3,3.5,12.9,1.1,74.2
Panama,57.1,2.9,23.3,5.6,71.2
Papua New Guinea,23.8,18.8,33,1.7,44
Paraguay,35.4,11.1,33.8,18.7,48.2
Peru,201.9,7.7,30.2,12.2,54.3
Philippines,361.8,10.2,28.4,17.7,61.4
Poland,599.4,2.6,28.3,16.5,57.2
Portugal,229,2.2,19.4,12,65.6
Puerto Rico,103.1,0.7,50.3,47.8,49.6
Qatar,144.4,0.3,52.3,7.9,52.7
Romania,251.4,4.2,26.5,15.9,60
Russia,"1,493.10",4,29.7,13.4,56.4
Rwanda,10.2,26.7,18.6,8.7,46.6
Samoa,0.9,9.5,11.1,4,69.4
San Marino,1.5,0,35.6,31.5,57.9
Sao Tome and Principe,0.5,14.2,13.2,5.7,71
Saudi Arabia,734.3,3,39.5,12.6,53.3
Senegal,24.5,16.1,23.2,14.6,50.5
Serbia,53.4,6.3,24.9,13.3,51.9
Seychelles,1.2,2.7,14.8,7.5,65.6
Sierra Leone,4.1,59.5,5.2,1.9,31
Singapore,348.4,0,23.3,19.8,72
Slovakia,106.7,1.7,28.2,18.1,59.8
Slovenia,53.7,2.1,29.2,20.5,57.1
Solomon Islands,1.5,34.1,17.2,9.7,48.6
South Africa,337.6,2.5,23.3,11.7,64.7
Spain,"1,277.00",2.9,20.1,11,68.2
Sri Lanka,84.4,8.2,28.2,16.3,57.7
St. Kitts and Nevis,0.9,1.1,23.2,5.1,64.1
St. Lucia,1.5,1.9,11.4,2.8,72.2
St. Vincent and the Grenadines,0.9,8.6,12.6,3.7,63.3
Suriname,2.9,8.1,36.6,23.1,51.9
Sweden,547.1,1.3,21.6,12.4,65.8
Switzerland,739.9,0.7,24.8,17.7,71.8
Tajikistan,8.1,22.7,33.8,15.6,35.3
Tanzania,66.1,25.3,27.1,8,34.2
Thailand,500.5,8.7,33.3,25.6,58
East Timor,2.2,13.1,36.8,1.5,48.6
Togo,7.4,18.9,20.3,14.7,51.4
Tonga,0.5,17.8,14.8,5.6,50.9
Trinidad and Tobago,21.1,1.2,33,15.3,63.6
Tunisia,42.5,10.4,21.5,13.7,60.2
Turkiye,720.3,6.7,28,19.1,54.2
Turks and Caicos Islands,0.9,0.4,15.7,0.7,72.7
Uganda,37.6,23.9,26.5,15.8,42.8
Ukraine,156.6,9.3,20.8,10.1,55.8
United Arab Emirates,349.5,1,42.2,10.3,56.9
United Kingdom,"2,704.60",0.6,17,8.7,72.6
United States,"21,060.50",0.9,17.5,10.6,78.1
Uruguay,53.7,6.5,17.7,10.3,64.5
Uzbekistan,60.2,24.9,31,19.2,35.6
Vanuatu,0.9,21.2,10,2.8,59.8
Viet Nam,346.6,12.7,36.7,23.9,41.8
West Bank and Gaza,15.5,7.1,17,11,60.6
Zambia,18.1,3,40.3,7.7,53.6
Zimbabwe,21.5,8.8,32.8,15.7,52.9